unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"FAC30767-DA5F-5E20-E053-4704A8C004EE","550000","2023-03-17","E1 7EB","F","N","L","","449","PETTICOAT SQUARE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/FAC30767-DA5F-5E20-E053-4704A8C004EE/current"
"FD226036-0DDD-4CB7-E053-4804A8C00430","385000","2023-04-06","E1 7EE","F","N","L","9A","PETTICOAT TOWER","PETTICOAT SQUARE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-0DDD-4CB7-E053-4804A8C00430/current"
"152AB734-0143-E651-E063-4704A8C061D9","623000","2023-10-31","E1 7ES","F","N","L","FLAT 1","WHITE ROSE COURT","WIDEGATE STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-0143-E651-E063-4704A8C061D9/current"
"12A8BAB6-6F1B-2125-E063-4804A8C08CC1","575000","2023-11-14","E1 7ES","F","N","L","FLAT 5","WHITE ROSE COURT","WIDEGATE STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/12A8BAB6-6F1B-2125-E063-4804A8C08CC1/current"
"0B85394F-8BD1-69A5-E063-4704A8C07DAC","617500","2023-09-18","E1 7HW","F","N","L","FLAT 2","SANDYS ROW APARTMENTS, 2 - 3","SANDYS ROW","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0B85394F-8BD1-69A5-E063-4704A8C07DAC/current"
"045A1899-43CA-9A24-E063-4804A8C048EA","1100000","2023-07-28","E1 7LP","O","N","F","","11","ARTILLERY LANE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/045A1899-43CA-9A24-E063-4804A8C048EA/current"
"0E082196-ADB4-5C09-E063-4704A8C0A10E","495000","2023-05-12","E9 5NW","F","N","L","FLAT 206","11","MELDOLA YARD","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0E082196-ADB4-5C09-E063-4704A8C0A10E/current"
"09266DDC-4D8F-AF90-E063-4704A8C02087","3050000","2023-03-29","EC1A 2BP","O","N","F","","FITZ-EYLWIN HOUSE, 25","HOLBORN VIADUCT","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/09266DDC-4D8F-AF90-E063-4704A8C02087/current"
"06C9F487-17B1-9388-E063-4804A8C0BD98","773000","2023-08-07","EC1A 4HU","F","N","L","FLAT 45","LONDON HOUSE, 172","ALDERSGATE STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/06C9F487-17B1-9388-E063-4804A8C0BD98/current"
"09266DDB-7D05-AF90-E063-4704A8C02087","730000","2023-07-06","EC1A 4HU","F","N","L","FLAT 54","LONDON HOUSE, 172","ALDERSGATE STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/09266DDB-7D05-AF90-E063-4704A8C02087/current"
"F87E72F8-88DD-176C-E053-6B04A8C0D2BE","568000","2023-03-06","EC1A 4HU","F","N","L","FLAT 57","LONDON HOUSE, 172","ALDERSGATE STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/F87E72F8-88DD-176C-E053-6B04A8C0D2BE/current"
"F5E8B080-D1AD-3A13-E053-6C04A8C060B7","720000","2023-02-02","EC1A 4HU","F","N","L","FLAT 67","LONDON HOUSE, 172","ALDERSGATE STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B080-D1AD-3A13-E053-6C04A8C060B7/current"
"FFA361DA-7D37-8A03-E053-4804A8C01F61","799500","2023-05-23","EC1A 7BB","F","N","L","APARTMENT 2.1","THE UNDERWOOD BUILDING, 25","BARTHOLOMEW CLOSE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DA-7D37-8A03-E053-4804A8C01F61/current"
"1061746D-9E38-3C34-E063-4804A8C0F9E7","990000","2023-11-30","EC1A 7BD","F","N","L","APARTMENT 4.4","ABERNETHY HOUSE, 47","BARTHOLOMEW CLOSE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/1061746D-9E38-3C34-E063-4804A8C0F9E7/current"
"1061746D-9E5D-3C34-E063-4804A8C0F9E7","1100000","2023-09-28","EC1A 7BF","F","N","L","APARTMENT 1.2","DOMINION HOUSE, 59","BARTHOLOMEW CLOSE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/1061746D-9E5D-3C34-E063-4804A8C0F9E7/current"
"0B85394F-8C40-69A5-E063-4704A8C07DAC","3200000","2023-09-19","EC1A 7BF","F","N","L","APARTMENT 5.2","DOMINION HOUSE, 59","BARTHOLOMEW CLOSE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0B85394F-8C40-69A5-E063-4704A8C07DAC/current"
"FFA361DA-7EE0-8A03-E053-4804A8C01F61","849000","2023-06-05","EC1A 7BN","F","N","L","APARTMENT 5.2","FENWICK HOUSE, 84","BARTHOLOMEW CLOSE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DA-7EE0-8A03-E053-4804A8C01F61/current"
"FAC30766-CE83-5E20-E053-4704A8C004EE","1398550","2023-03-01","EC1A 7BR","F","N","L","APARTMENT 1.5","THE LEVETT BUILDING, 50","LITTLE BRITAIN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FAC30766-CE83-5E20-E053-4704A8C004EE/current"
"FD226035-7C35-4CB7-E053-4804A8C00430","1100000","2023-05-11","EC1A 7BR","F","N","L","APARTMENT 1.8","THE LEVETT BUILDING, 50","LITTLE BRITAIN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-7C35-4CB7-E053-4804A8C00430/current"
"FFA361DA-7F69-8A03-E053-4804A8C01F61","1267125","2023-03-20","EC1A 7BR","F","N","L","APARTMENT 2.6","THE LEVETT BUILDING, 50","LITTLE BRITAIN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DA-7F69-8A03-E053-4804A8C01F61/current"
"FAC30766-CE84-5E20-E053-4704A8C004EE","1304100","2023-03-17","EC1A 7BR","F","N","L","APARTMENT 2.9","THE LEVETT BUILDING, 50","LITTLE BRITAIN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FAC30766-CE84-5E20-E053-4704A8C004EE/current"
"FAC30766-CE85-5E20-E053-4704A8C004EE","1200000","2023-03-14","EC1A 7BR","F","N","L","APARTMENT 3.6","THE LEVETT BUILDING, 50","LITTLE BRITAIN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FAC30766-CE85-5E20-E053-4704A8C004EE/current"
"FAC30766-CE86-5E20-E053-4704A8C004EE","1155000","2023-03-02","EC1A 7BR","F","N","L","APARTMENT 3.9","THE LEVETT BUILDING, 50","LITTLE BRITAIN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FAC30766-CE86-5E20-E053-4704A8C004EE/current"
"12A8BAB6-6FD2-2125-E063-4804A8C08CC1","680000","2023-02-24","EC1A 7BX","F","N","L","FLAT 2","FRANKLIN HOUSE, 2","LITTLE BRITAIN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/12A8BAB6-6FD2-2125-E063-4804A8C08CC1/current"
"0E082197-14DB-5C09-E063-4704A8C0A10E","560000","2023-02-22","EC1A 7BX","F","N","L","FLAT 6","BUCKLEY HOUSE, 4","LITTLE BRITAIN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-14DB-5C09-E063-4704A8C0A10E/current"
"06C9F488-129A-9388-E063-4804A8C0BD98","502500","2023-08-22","EC1A 7ES","F","N","L","FLAT 15A","28","BARTHOLOMEW CLOSE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/06C9F488-129A-9388-E063-4804A8C0BD98/current"
"0E082197-14EA-5C09-E063-4704A8C0A10E","440000","2023-11-14","EC1A 7ES","F","N","L","FLAT 31","28","BARTHOLOMEW CLOSE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-14EA-5C09-E063-4704A8C0A10E/current"
"0B853950-D924-69A5-E063-4704A8C07DAC","430000","2023-08-30","EC1A 7ES","F","N","L","FLAT 9","ALDERSGATE COURT, 30","BARTHOLOMEW CLOSE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-D924-69A5-E063-4704A8C07DAC/current"
"0E082197-5FC6-5C09-E063-4704A8C0A10E","1075000","2023-10-19","EC1A 7LP","O","N","F","","12","EAST PASSAGE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-5FC6-5C09-E063-4704A8C0A10E/current"
"09266DDB-F1C1-AF90-E063-4704A8C02087","575000","2023-08-24","EC1A 9BW","F","N","L","FLAT G02","32","COCK LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/09266DDB-F1C1-AF90-E063-4704A8C02087/current"
